Group_no,Group,Violation_no,Description,Restorative_Action_1,Restorative_Action_2,Restorative_Action_3,Restorative_Action_4,Restorative_Action_5,Restorative_Action_6,Restorative_Action_7,Restorative_Action_8,Restorative_Action_9,Consequence_1,Consequence_2,Consequence_3,Consequence_4,Consequence_5,Consequence_6,Consequence_7,Summary
5,Most Seriously Disruptive Behavior,3,"Theft (obtaining or exerting unauthorized control over) or possession (physical control over,including in clothing, lockers, or bags) of stolen property that costs more than $150",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,4,"Use of intimidation, credible threats of violence, coercion, or persistent severe bullying. Intimidationis behavior that prevents or discourages another student from exercising his/her right to education,or using force against students, school personnel and school visitors. For severe bullying, see theAnti-Bullying Policy before assigning an intervention or consequence.",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,5,Persistent deﬁance of multiple directives by school personnel resulting in the most seriousdisruption of the educational process,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,6,Gang activity or overt displays of gang afﬁliation18,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,7,"Inappropriate sexual conduct, including unwelcomed sexual contact, indecent exposure, transmittingsexually suggestive images through information technology devices, or other sexual activities whichdo not involve the use of force",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,8,"Engaging in any other illegal behavior which interferes with the school’s educational process,including attempting an illegal behavior",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,9,"Persistent or severe acts of sexual harassment - unwelcome sexual or gender-based conduct(either physical or verbal) and/or conduct of a sexual nature which is sufﬁciently severe, persistentor pervasive to limit a student’s ability to participate in or beneﬁt from the educational program orwhich creates a hostile or abusive school environment",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,10,False activation of a ﬁre alarm which causes a school facility to be evacuated or causes emergencyservices to be notiﬁed,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,11,"Second or repeated violation of Behavior 4-13, possession of any dangerous object as deﬁned by this SCC",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,12,"Battery, or aiding or abetting in the commission of a battery, which results in a physical injury. Battery means unwanted bodily contact with another person without legal justiﬁcation.",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,13,"Initiating or participating in any inappropriate, minor physical contact with school personnel, such as pushing school personnel out of the way in order to physically fight with another student",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,,14,"Use of any computer, including social networking websites, or use of any information technology device to threaten, stalk, harass, bully or otherwise intimidate others, or hacking (intentionally gaining accessby illegal means or without authorization) into the CPS network to access student records or other unauthorized information, or to otherwise circumvent the information security system, regardless of intent",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,15,Vandalism (willful or malicious destruction or defacing of property) or criminal damage to property that results in damage exceeding $500 or that is done to personal property belonging to any school personnel,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,16,Inappropriate consensual sexual activity,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,17,"Use or possession of illegal drugs, narcotics, controlled substances, “look-alikes” of such substances, or contraband, or use f any other substance for the purpose of intoxication in or before school or a school-related function",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,18,"Second or repeated violation of Behavior 4-14, use or possession of alcohol in school or at, before or after a school-related function",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
5,Most Seriously Disruptive Behavior,19,"Participatinginamobaction–alargeordisorderlygroupofstudentsusingforcetocauseinjurytoaperson or property, or persisting in severe disruption after being directed to cease by school personnel or Police",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,
6,Illegal and Most Seriously Disruptive Behavior,1,"Use, possession, and/or concealment of a firearm24/destructive device or other weapon25 or “look- alikes” of weapons as defined in the Additional Resources section, or use or intent to use any other object to inflict bodily harm",None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,None suggested.,A student shall be suspended for five days. A student may be suspended for six to ten days and/or referred for expulsion at the principal’s election with written justification for the six to ten day suspension and/or referral for expulsion submitted in IMPACT Verify. Safe Schools Alternative Program placement may be recommended for the period of the expulsion. The student may also be disciplinarily reassigned by the Network Chief instead of being referred for expulsion.,"When a student in the sixth grade or above is referred for expulsion, the hearing officer may instead recommend that the student attend the Board-sponsored SMART program if the student’s behavior does not require expulsion and the student is likely to benefit from remediation. The Saturday Morning Alternative Reach-Out and Teach Program (SMART) is a comprehensive and integrated eight-session Saturday morning program with an additional community service requirement. The SMART program provides students with character building and conflict resolution skills as well as prevention, intervention, referral and support services for the amelioration of alcohol- or drug-related problems and inappropriate behavior in general. An adult representative is also required to attend two Saturday program meetings.","A recommendation to SMART is subject to approval by the Chief Executive Officer or designee. A student who is recommended forfails to successfully complete the program shall be expelled for offenses involving the improper use of the CPS network or information technology devices, network privileges may be revoked for up to two years, in addition to other disciplinary actions available.","Following a period of suspension or expulsion, balanced and restorative justice practices may be used to help reintegrate a student into the school community (see Additional Resources section). For Group 5 behaviors, balanced and restorative justice practices may only be used in addition to, not in place of, suspension and discretionary referral for expulsion.",,,,"Behavior that disrupts the safe, respectful and productive learning environments that contribute to student success. A student shall be suspended for five days. A student may be suspended for six to ten days at the principal’s election with written justification for the six to ten day suspension submitted in IMPACT verify. A student shall be referred for expulsion for a period of at least one calendar year or as modified on a case-by-case review by the Chief Executive Officer or designee. Safe Schools Alternative Program may be recommended for the period of expulsion"
